股票简称	申购简称	转债简称
神州高铁	不详	None
神州数码	不详	None
方大集团	深圳方大	None
南玻A	不详	None
深科技	不详	None
北方国际	深圳西林	北方转债
特发信息	特发信息	特发转2
中金岭南	中金岭南	中金转债
中国宝安	不详	None
*ST宜康	科特配售	None
中信海直	中信海直	None
常山北明	常山股份	None
深康佳A	不详	None
深桑达A	不详	None
泛海控股	不详	None
万科A	不详	None
深纺织A	不详	None
盐田港	盐田港	None
深圳能源	不详	None
深赛格	深赛格	None
中洲控股	不详	None
华数传媒	安塑股份	None
深振业A	不详	None
国际实业	国际实业	None
ST星源	不详	None
申万宏源	不详	None
深粮控股	不详	None
中集集团	不详	None
德赛电池	不详	None
深物业A	不详	None
华控赛格	赛格中康	None
深圳华强	深圳华强	None
天健集团	深天健	None
富奥股份	不详	None
吉林化纤	吉林化纤	None
华天酒店	华天酒店	None
山东路桥	不详	None
金融街	华亚纸业	None
美的集团	不详	None
东旭光电	宝石A	None
许继电气	不详	None
徐工机械	不详	None
珠海港	不详	None
*ST沈机	沈阳机床	None
新金路	不详	None
张家界	张家界	None
兴蓉环境	蓝星清洗	None
长虹华意	不详	None
四环生物	不详	None
民生控股	不详	None
万泽股份	不详	None
丽珠集团	不详	None
中兵红箭	不详	None
云南白药	不详	None
佛山照明	不详	None
顺钠股份	不详	None
航天发展	不详	None
金圆股份	不详	None
京粮控股	不详	None
皖能电力	不详	None
泸州老窖	不详	None
绿景退	不详	None
柳工	不详	None
海德股份	不详	None
创元科技	不详	None
湖南投资	不详	None
国际医学	不详	None
苏常柴A	不详	None
穗恒运A	不详	None
新华联	牡石化	None
长航凤凰	不详	None
海马汽车	琼金盘	None
*ST东海A	不详	None
ST红太阳	不详	None
安道麦A	不详	None
广州浪奇	不详	None
*ST顺利	青海明胶	None
渝三峡A	不详	None
远大控股	如意集团	None
西部创业	不详	None
长安汽车	长安汽车	None
ST大洲	不详	None
粤宏远A	粤宏远A	None
太阳能	不详	None
汇源通信	不详	None
甘化科工	不详	None
古井贡酒	不详	None
江铃汽车	不详	None
威孚高科	苏威孚	None
恒立实业	岳阳恒立	None
天茂集团	湖北中天	None
中油资本	不详	None
ST海投	大连渤海	None
吉林敖东	不详	敖东转债
荣丰控股	不详	None
仁和药业	九江化纤	None
高新发展	倍特高新	None
攀钢钒钛	攀钢板材	None
铜陵有色	不详	None
茂化实华	不详	None
格力电器	不详	None
三木集团	不详	None
长春高新	长春高新	None
合金投资	不详	None
金科股份	不详	None
滨海能源	不详	None
阳光城	不详	None
智度股份	不详	None
西王食品	株洲庆云	None
ST金鸿	不详	None
浙江震元	浙江震元	None
贝瑞基因	天兴仪表	None
襄阳轴承	襄阳轴承	None
远兴能源	天然碱	None
美锦能源	天宇电气	美锦转债
视觉中国	苏常远东	None
振华科技	振华科技	None
美好置业	不详	None
东方电子	不详	None
锦龙股份	不详	None
模塑科技	不详	模塑转债
漳州发展	不详	None
国海证券	桂林集琦	None
财信发展	不详	None
山推股份	山推股份	None
厦门信达	不详	None
中广核技	大连国际	None
三湘印象	北商技术	None
冠捷科技	不详	None
*ST盈方	不详	None
中色股份	不详	None
中百集团	武汉中百	None
长江证券	石炼化	长证转债
燕京啤酒	燕京啤酒	None
北方铜业	南风化工	None
京东方A	京东方A	None
甘咨询	三毛派神	None
中航西飞	西飞国际	None
炼石航空	不详	None
美达股份	不详	None
河化股份	河池化工	None
正虹科技	不详	None
山东海化	山东海化	None
盐湖股份	不详	None
河钢股份	唐钢股份	None
中国武夷	不详	None
苏宁环球	吉林纸业	None
冀东装备	唐山陶瓷	None
居然之家	不详	None
鲁西化工	鲁西化工	None
海印股份	茂化永业	海印转债
*ST节能	金城股份	None
潍柴重机	山东巨力	None
本钢板材	本钢板材	本钢转债
山西路桥	不详	None
峨眉山A	峨眉山Ａ	None
顺鑫农业	顺鑫农业	None
北大医药	不详	None
*ST西发	不详	None
中关村	不详	None
城发环境	春都A	None
华神科技	不详	None
湖北能源	三环股份	None
普洛药业	不详	None
陕西金叶	陕西金叶	None
福星股份	湖北川绳	None
中南建设	大连金牛	None
海南高速	海南高速	None
南宁糖业	南宁糖业	None
中水渔业	中水渔业	None
锌业股份	不详	None
中核科技	中核苏阀	None
四川九洲	不详	None
神火股份	神火股份	None
ST新城	不详	None
承德露露	承德露露	None
一汽解放	一汽轿车	None
浩物股份	内江峨柴	None
岳阳兴长	岳阳长兴	None
中通客车	中通客车	None
冀中能源	金牛能源	None
英洛华	太原刚玉	None
首钢股份	首钢股份	None
双汇发展	双汇实业	None
吉电股份	通换吉电	None
华东医药	华东医药	None
新洋丰	中国服装	洋丰转债
航天科技	航天科技　	None
华菱钢铁	华菱管线	None
数源科技	数源科技	None
四川双马	四川双马	None
华西股份	华西村	None
云南铜业	云南铜业	None
华联股份	中商股份	None
ST中嘉	华联商城	None
中科三环	中科三环	None
诚志股份	诚志股份	None
闽东电力	闽东电力	None
海特高新	海特配售	None
山西焦煤	西山煤电	None
浪潮信息	浪潮信息	None
永新股份	永新配售	None
天奇股份	天奇配售	None
威海广泰	威海广泰	None
东信和平	东信配售	None
*ST银亿	兰光科技	None
ST中捷	中捷配售	None
*ST凯瑞	德棉股份	None
华铁股份	春晖股份	None
大庆华科	大庆华科	None
浙江交科	江山化工	交科转债
瑞泰科技	瑞泰科技	None
中泰化学	中泰化学	None
隆平高科	隆平高科	None
宗申动力	不详	None
海翔药业	海翔药业	None
伟星股份	伟星配售	None
鲁阳节能	鲁阳股份	None
中银绒业	圣雪绒	None
莱宝高科	莱宝高科	None
凯恩股份	凯恩配售	None
*ST科华	科华配售	科华转债
中环股份	中环股份	None
紫鑫药业	紫鑫药业	None
协鑫能科	霞客配售	None
*ST雪莱	雪莱特	None
东华能源	东华能源	None
新和成	和成配售	None
东南网架	东南网架	None
万丰奥威	万丰奥威	None
世荣兆业	威尔配售	None
顺络电子	顺络电子	None
天康生物	天康生物	天康转债
远光软件	远光软件	None
三力士	三力士	三力转债
青岛金王	青岛金王	None
三维通信	三维通信	None
恒宝股份	恒宝股份	None
东方锆业	东方锆业	None
华峰化学	华峰氨纶	None
东港股份	东港股份	None
报喜鸟	报喜鸟	None
宁波银行	宁波银行	None
万邦德	栋梁新材	None
金智科技	金智科技	None
沧州明珠	沧州明珠	None
ST獐子岛	獐 子 岛	None
蔚蓝锂芯	澳洋顺昌	None
融捷股份	路翔股份	None
利欧股份	利欧股份	None
太阳纸业	太阳纸业	太阳转债
浔兴股份	浔兴股份	None
广宇集团	广宇集团	None
兆新股份	彩虹精化	None
*ST御银	御银股份	None
水晶光电	水晶光电	None
兴化股份	兴化股份	None
博云新材	博云新材	None
红宝丽	红宝丽	None
全聚德	全聚德	None
福晶科技	福晶科技	None
三变科技	三变科技	None
ST云投	绿大地	None
海利得	海利得	None
三特索道	三特索道	None
天邦股份	天邦股份	None
中电兴发	鑫龙电器	None
ST冠福	冠福家用	None
康强电子	康强电子	None
中核钛白	中核钛白	None
荣盛发展	荣盛发展	None
贤丰控股	蓉胜超微	None
南岭民爆	南岭民爆	None
大立科技	大立科技	None
恒邦股份	恒邦股份	None
远望谷	远望谷	None
西部材料	西部材料	None
富安娜	富安娜	None
歌尔股份	歌尔声学	None
拓邦股份	拓邦电子	None
创新医疗	山下湖	None
同德化工	同德化工	None
神剑股份	神剑股份	None
新华都	新华都	None
中航光电	中航光电	None
恩华药业	恩华药业	None
成飞集成	成飞集成	None
智光电气	智光电气	None
北斗星通	北斗星通	None
大连重工	华锐铸钢	None
飞马国际	飞马国际	None
嘉应制药	嘉应制药	None
通富微电	通富微电	None
*ST海核	丹甫股份	None
北纬科技	北纬通信	None
东方网络	广陆数测	None
汉钟精机	汉钟精机	None
大为股份	特尔佳	None
ST中利	中利科技	None
辉煌科技	辉煌科技	None
顺丰控股	鼎泰新材	None
方正电机	方正电机	None
合肥城建	合肥城建	None
金风科技	金风科技	None
海南发展	三鑫股份	None
武汉凡谷	武汉凡谷	None
楚江新材	精诚铜业	楚江转债
科华数据	科华恒盛	None
合兴包装	合兴包装	合兴转债
聚力文化	帝龙新材	None
鸿博股份	鸿博股份	None
ST宏达	宏达新材	None
威创股份	威创股份	None
华东数控	华东数控	None
民和股份	民和股份	None
云海金属	云海金属	None
合力泰	联合化工	None
海得控制	海得控制	None
步步高	步步高	None
濮耐股份	濮耐股份	濮耐转债
大华股份	大华股份	None
安妮股份	安妮股份	None
*ST巴士	新嘉联	None
宇顺电子	宇顺电子	None
禾盛新材	禾盛新材	None
奥飞娱乐	奥飞动漫	None
南山控股	雅致股份	None
塔牌集团	塔牌集团	None
得利斯	得利斯	None
奥特佳	金飞达	None
众生药业	众生药业	None
桂林三金	桂林三金	None
海大集团	海大集团	None
上海莱士	上海莱士	None
新纶新材	新纶科技	None
大东南	大东南	None
友阿股份	家润多	None
海峡股份	海峡股份	None
永太科技	永太科技	None
久立特材	久立特材	None
伟星新材	伟星新材	None
皖通科技	皖通科技	None
超华科技	超华科技	None
巨力索具	巨力索具	None
柘中股份	柘中建设	None
海宁皮城	海宁皮城	None
博深股份	博深工具	None
